key,value,version,sheet
Buff_AddSpeed,加速,#20250509101843,Buffs
Buff_AddSpeed_Desc,提升移动速度,#20250509101843,Buffs
Buff_BleedS,出血,#20250703031051,Buffs
Buff_Starve,饥饿,#20250509101843,Buffs
Buff_Starve_Desc,回复能力降低，持续身体损伤,#20250509101843,Buffs
Buff_Stun,震慑,#20250509101843,Buffs
Buff_Stun_Desc,受到震慑，行动力影响,#20250509101843,Buffs
Buff_Thirsty,脱水,#20250509101843,Buffs
Buff_Thirsty_Desc,严重脱水，机能降低,#20250509101843,Buffs
Buff_Weight_Heavy,负重,#20250509101843,Buffs
Buff_Weight_Heavy_Desc,物品较重，移动受到影响,#20250509101843,Buffs
Buff_Weight_Light,轻盈,#20250509101843,Buffs
Buff_Weight_Light_Desc,负重较低，灵活,#20250509101843,Buffs
Buff_Weight_Overweight,无法承受,#20250509101843,Buffs
Buff_Weight_Overweight_Desc,重量过大,#20250509101843,Buffs
Buff_Weight_SuperHeavy,超重,#20250509101843,Buffs
Buff_Weight_SuperHeavy_Desc,物品过重，影响速度以及水分消耗,#20250812031141,Buffs
Buff_PoisonS,中毒,#20250703031149,Buffs
Buff_PoisonS_Desc,持续伤害，降低回复量,#20250509101843,Buffs
Buff_Electric,触电,#20250715033942,Buffs
Buff_Electric_Desc,因为麻痹而减少移动速度,#20250509101843,Buffs
Buff_Pain,疼痛,#20250509101843,Buffs
Buff_Pain_Desc,疼痛会让角色失力，并降低移动能力,#20250509101843,Buffs
Buff_PainResistShort,镇静,#20250509101843,Buffs
Buff_PainResistShort_Desc,无视疼痛，持续60秒,#20250509101843,Buffs
Buff_PainResistMiddle,镇静,#20250509101843,Buffs
Buff_PainResistLong,镇静,#20250509101843,Buffs
Buff_PainResistLong_Desc,无视疼痛，持续300秒,#20250509101843,Buffs
Buff_PainResistMiddle_Desc,无视疼痛，持续180秒,#20250509101843,Buffs
Buff_ElecResistShort,抗电,#20250509101843,Buffs
Buff_ElecResistShort_Desc,受到的电伤害降低,#20250724090422,Buffs
Buff_HotBlood,热血,#20250509101843,Buffs
Buff_Happy,高兴,#20250509101843,Buffs
Buff_Happy_Desc,今个真高兴,#20250509101843,Buffs
Buff_Base,基地,#20250509101843,Buffs
Building_Merchant_Equipment,防具店,#20250509101843,Buildings
Building_Merchant_Equipment_Desc,出售各种头盔、护甲。,#20250509101843,Buildings
Building_Merchant_Normal,杂货店,#20250509101843,Buildings
Building_Merchant_Normal_Desc,购买各种药品、杂货。或者卖东西换钱。,#20250509101843,Buildings
Building_Merchant_Weapon,武器店,#20250509101843,Buildings
Building_Merchant_Weapon_Desc,武器，弹药，杀人越货的东西。,#20250509101843,Buildings
Building_PrototypeMachine,原型机,#20250509101843,Buildings
Building_PrototypeMachine_Desc,在这里升级你的技能，提高生存和战斗能力。,#20250509101843,Buildings
Building_Workbench,简易工作台,#20250509101843,Buildings
Building_Workbench_Desc,制作一些基本物品。,#20250509101843,Buildings
Building_WorkbenchAdvance,工作台,#20250624082245,Buildings
Building_WorkbenchAdvance_Desc,制作/分解物品、维修、录入蓝图。,#20250624082326,Buildings
Building_MasterKey,钥匙录入机,#20250509101843,Buildings
Building_MasterKey_Desc,录入钥匙后，可以随意打开对应的门。,#20250509101843,Buildings
Building_Bathroom,卫生间,#20250509101843,Buildings
Building_Bathroom_Desc,提供干净的水，至少没有泥土。,#20250509101843,Buildings
Building_FoodTable,餐桌,#20250509101843,Buildings
