key,value,version,sheet
Buff_AddSpeed,加速,#20250924065516,Default
Buff_AddSpeed_Desc,提升移動速度,#20250924065516,Default
Buff_BleedS,出血,#20250924065516,Default
Buff_Starve,饑餓,#20250924065516,Default
Buff_Starve_Desc,回復能力降低，持續身體損傷,#20250924065516,Default
Buff_Stun,震懾,#20250924065516,Default
Buff_Stun_Desc,受到震懾，行動力影響,#20250924065516,Default
Buff_Thirsty,脫水,#20250924065516,Default
Buff_Thirsty_Desc,嚴重脫水，機能降低,#20250924065516,Default
Buff_Weight_Heavy,負重,#20250924065516,Default
Buff_Weight_Heavy_Desc,物品較重，移動受到影響,#20250924065516,Default
Buff_Weight_Light,輕盈,#20250924065516,Default
Buff_Weight_Light_Desc,負重較低，靈活,#20250924065516,Default
Buff_Weight_Overweight,無法承受,#20250924065516,Default
Buff_Weight_Overweight_Desc,重量過大,#20250924065516,Default
Buff_Weight_SuperHeavy,超重,#20250924065516,Default
Buff_Weight_SuperHeavy_Desc,物品過重，影響速度以及水分消耗,#20250924065516,Default
Buff_PoisonS,中毒,#20250924065516,Default
Buff_PoisonS_Desc,持續傷害，降低回復量,#20250924065516,Default
Buff_Electric,觸電,#20250924065516,Default
Buff_Electric_Desc,因為麻痹而減少移動速度,#20250924065516,Default
Buff_Pain,疼痛,#20250924065516,Default
Buff_Pain_Desc,疼痛會讓角色失力，並降低移動能力,#20250924065516,Default
Buff_PainResistShort,鎮靜,#20250924065516,Default
Buff_PainResistShort_Desc,無視疼痛，持續60秒,#20250924065516,Default
Buff_PainResistMiddle,鎮靜,#20250924065516,Default
Buff_PainResistLong,鎮靜,#20250924065516,Default
Buff_PainResistLong_Desc,無視疼痛，持續300秒,#20250924065516,Default
Buff_PainResistMiddle_Desc,無視疼痛，持續180秒,#20250924065516,Default
Buff_ElecResistShort,抗電,#20250924065516,Default
Buff_ElecResistShort_Desc,受到的電傷害降低,#20250924065516,Default
Buff_HotBlood,熱血,#20250924065516,Default
Buff_Happy,高興,#20250924065516,Default
Buff_Happy_Desc,今個真高興,#20250924065516,Default
Buff_Base,基地,#20250924065516,Default
Building_Merchant_Equipment,防具店,#20250924065516,Default
Building_Merchant_Equipment_Desc,出售各種頭盔、護甲。,#20250924065516,Default
Building_Merchant_Normal,雜貨店,#20250924065516,Default
Building_Merchant_Normal_Desc,購買各種藥品、雜貨。或者賣東西換錢。,#20250924065516,Default
