key,value,version,sheet
Buff_AddSpeed,"Speed Up",#20250206103400,Buffs
Buff_BleedS,Bleed,#20250812031926,Buffs
Buff_Starve,Hungry,#20250812031926,Buffs
Buff_Starve_Desc,"Have\ a\ reduced\ recovery\ rate\ and\ suffer\ from\ continuous\ DMG\ over\ time",#20250919105708,Buffs
Buff_Stun,Stun,#20250812031926,Buffs
Buff_Stun_Desc,"Stunned,\ reducing\ action\ capability",#20250919105708,Buffs
Buff_Thirsty,Dehydrated,#20250206103400,Buffs
Buff_Weight_Overweight,Unbearable,#20250812031926,Buffs
Buff_Weight_Overweight_Desc,"Carrying\ too\ much\ weight",#20250919105708,Buffs
Buff_Weight_SuperHeavy,Overweight,#20250812031926,Buffs
Buff_Weight_SuperHeavy_Desc,"Items\ are\ too\ heavy,\ reducing\ speed\ and\ increasing\ Hydration\ cost",#20250919105708,Buffs
Buff_PoisonS,Poison,#20250812031926,Buffs
Buff_Electric,"Electric Shock​",#20250812031926,Buffs
Buff_Electric_Desc,"Paralyzed,\ reducing\ movement\ speed",#20250919105708,Buffs
Buff_Thirsty_Desc,"Severe\ dehydration\ lowers\ bodily\ functions",#20250919105708,Buffs
Buff_Weight_Heavy,Heavy,#20250206103400,Buffs
Buff_Weight_Heavy_Desc,"Items\ are\ heavy,\ reducing\ movement\ speed",#20250919105708,Buffs
Buff_Weight_Light,Agile,#20250812031926,Buffs
Buff_Weight_Light_Desc,"Low\ carry\ weight,\ allows\ agile\ movement",#20250919105708,Buffs
Buff_AddSpeed_Desc,"Increases\ movement\ speed",#20250919105708,Buffs
Buff_Pain,Pain,#20250206103400,Buffs
Buff_Pain_Desc,"Pain\ weakens\ the\ character\ and\ reduces\ mobility",#20250919105708,Buffs
Buff_PainResistShort,Calm,#20250206103400,Buffs
Buff_PainResistShort_Desc,"Ignores\ pain\ for\ 60\ seconds",#20250919105708,Buffs
Buff_PainResistMiddle,Calm,#20250206103400,Buffs
Buff_PainResistLong,Calm,#20250206103400,Buffs
Buff_PainResistLong_Desc,"Ignores\ pain\ for\ 300\ seconds",#20250919105708,Buffs
Buff_PainResistMiddle_Desc,"Ignores\ pain\ for\ 180\ seconds",#20250919105708,Buffs
Buff_ElecResistShort,"Electric RES",#20250812031926,Buffs
Buff_ElecResistShort_Desc,"Reduces\ Electric\ DMG\ taken",#20250919105708,Buffs
Buff_HotBlood,Hot-Blood,#20250812031926,Buffs
Buff_PoisonS_Desc,"Takes\ continuous\ damage\ and\ has\ a\ reduced\ recovery\ rate",#20250919105708,Buffs
Buff_Happy,Happy,#20250206103400,Buffs
Buff_Happy_Desc,"I'm\ so\ happy\ today",#20250919105708,Buffs
Buff_Base,Base,#20250812031926,Buffs
Building_Merchant_Equipment,"Armor Shop",#20250206103400,Buildings
Building_Merchant_Equipment_Desc,"Sells various helmets and armor.",#20250812031926,Buildings
Building_Merchant_Normal,"Variety Shop",#20250812031926,Buildings
Building_Merchant_Normal_Desc,"You can buy various medicines and goods, or sell items for money.",#20250812031926,Buildings
Building_Merchant_Weapon,"Weapon Shop",#20250206103400,Buildings
Building_Merchant_Weapon_Desc,"Weapons,\ ammo,\ and\ anything\ for\ killing\ and\ looting\.",#20250919105708,Buildings
Building_PrototypeMachine,"Prototype Machine",#20250206103400,Buildings
Building_PrototypeMachine_Desc,"Upgrade your skills here to improve survival and combat abilities.",#20250812031926,Buildings
Building_Workbench,"Simple Workbench",#20250812031926,Buildings
Building_Workbench_Desc,"Craft\ basic\ items\ here\.",#20250919105708,Buildings
Building_WorkbenchAdvance,Workbench,#20250812031926,Buildings
Building_WorkbenchAdvance_Desc,"Craft,\ dismantle\ or\ repair\ items\ here\ as\ well\ as\ register\ Blueprints​\.",#20250919105708,Buildings
Building_MasterKey,"Key Registration Device",#20250812031926,Buildings
Building_MasterKey_Desc,"Register\ keys\ here\ and\ now\ to\ open\ doors\ later\.",#20250919105708,Buildings
Building_Bathroom,Restroom,#20250812031926,Buildings
Building_Bathroom_Desc,"Provides clean water—at least it's not muddy.",#20250812031926,Buildings
Building_FoodTable,"Dining Table",#20250206103400,Buildings
Building_FoodTable_Desc,"You can have your food here.",#20250812031926,Buildings
Building_QuestGiver,"Quest Board",#20250812031926,Buildings
Building_QuestGiver_Desc,"Become a mercenary, complete quests, and earn rewards.",#20250812031926,Buildings
MerchantName_Merchant_Equipment,"Equipment Merchant",#20250206103400,Buildings
MerchantName_Merchant_Weapon,"Weapon Merchant",#20250206103400,Buildings
MerchantName_Merchant_Normal,"Vending Machine",#20250206103400,Buildings
Character_Jeff,Jeff,#20250206103400,Characters
Character_Orange,Orange,#20250206103400,Characters
Character_Xavier,Xavier,#20250206103400,Characters
Character_Bob,Bob,#20250206103400,Characters
Character_Mud,Mud,#20250206103400,Characters
Character_Heart7,"Heart 7",#20250206103400,Characters
Cname_Wolf,Wolf,#20250206103400,Characters
Cname_ShortEagle,"Pato Chapo",#20250206103400,Characters
Cname_UltraMan,"Man of Light",#20250812031926,Characters
Cname_CrazyRob,"Lost Spider-Bot",#20250206103400,Characters
Cname_Scav,Scavenger,#20250206103400,Characters
Cname_Usec,Mercenary,#20250206103400,Characters
Cname_RobSpider,Spider-Bot,#20250206103400,Characters
Cname_ScavRage,"Rampaging Scavenger",#20250812031926,Characters
Cname_Boss_Sniper,Lordon,#20250206103400,Characters
Cname_SpeedyChild,"Speedy Group Member",#20250206103400,Characters
Cname_Speedy,"Speedy Group Commander",#20250206103400,Characters
Character_DemoTrophy,"Commemorative\ Trophy",#20250925103331,Characters
language_name,English,#20250206103400,Default
QuestGiver_Jeff,Jeff,#20250206103400,Default
Mirror,Dream,#20250206103400,Default
UI_CustomFace_Main_Title,Head,#20250206103400,Default
UI_CustomFace_Eyes_Title,Eyes,#20250206103400,Default
UI_CustomFace_Hair_Title,Crest,#20250919105708,Default
UI_CustomFace_Mouth_Title,Beak,#20250206103400,Default
UI_CustomFace_Tail_Title,Tail,#20250206103400,Default
UI_CustomFace_EyesBrown_Title,Eyebrow,#20250812031926,Default
UI_CustomFace_SkinColor,"Feather\ Color",#20250919105708,Default
UI_CustomFace_HeadSize,"Head Size",#20250206103400,Default
UI_CustomFace_HeadHeight,"Head Height",#20250206103400,Default
UI_CustomFace_HeadRoundness,"Head Shape",#20250812031926,Default
UI_CustomFace_HairType,"Crest\ Style",#20250919105708,Default
UI_CustomFace_HairColor,"Crest\ Color",#20250919105708,Default
UI_CustomFace_EyeType,"Eye Type",#20250812031926,Default
UI_CustomFace_EyeColor,"Eye Color",#20250812031926,Default
UI_CustomFace_EyeSpace,"Eye Spacing",#20250812031926,Default
UI_CustomFace_EyeHeight,"Eye Height",#20250812031926,Default
UI_CustomFace_EyeSize,"Eye Size",#20250812031926,Default
UI_CustomFace_EyeRotate,"Eye Rotation",#20250812031926,Default
UI_CustomFace_EyebrowType,"Eyebrow Type",#20250812031926,Default
UI_CustomFace_EyebrowColor,"Eyebrow Color",#20250812031926,Default
UI_CustomFace_EyebrowSpace,"Eyebrow Spacing",#20250812031926,Default
UI_CustomFace_EyebrowHeight,"Eyebrow Height",#20250812031926,Default
UI_CustomFace_EyebrowSize,"Eyebrow Size",#20250812031926,Default
UI_CustomFace_EyebrowRotate,"Eyebrow Rotation",#20250812031926,Default
UI_CustomFace_MouthType,"Beak Type",#20250206103400,Default
UI_CustomFace_MouthColor,"Beak Color",#20250206103400,Default
UI_CustomFace_MouthSize,"Beak Size",#20250206103400,Default
UI_CustomFace_MouthHeight,"Beak Height",#20250206103400,Default
UI_CustomFace_MouthOffset,"Beak Offset",#20250206103400,Default
UI_CustomFace_MouthRotate,"Beak Rotation",#20250206103400,Default
