key,value,version,sheet
Buff_AddSpeed,Accélération,#20250924065516,Default
Buff_AddSpeed_Desc,"Augmente\ la\ vitesse\ de\ déplacement",#20250924065516,Default
Buff_BleedS,Saignement,#20250924065516,Default
Buff_Starve,Affamé,#20250924065516,Default
Buff_Starve_Desc,"Taux\ de\ récupération\ réduit\ et\ dégâts\ continus\ sur\ la\ durée",#20250924065516,Default
Buff_Stun,Étourdissement,#20250924065516,Default
Buff_Stun_Desc,"Étourdi,\ réduisant\ la\ capacité\ d'action",#20250924065516,Default
Buff_Thirsty,Déshydraté,#20250924065516,Default
Buff_Thirsty_Desc,"Une\ déshydratation\ sévère\ réduit\ les\ fonctions\ corporelles",#20250924065516,Default
Buff_Weight_Heavy,Lourd,#20250924065516,Default
Buff_Weight_Heavy_Desc,"Les\ objets\ sont\ lourds,\ réduisant\ la\ vitesse\ de\ déplacement",#20250924065516,Default
Buff_Weight_Light,Agilité,#20250924065516,Default
Buff_Weight_Light_Desc,"Charge\ légère,\ permettant\ des\ mouvements\ agiles",#20250924065516,Default
Buff_Weight_Overweight,Insupportable,#20250924065516,Default
Buff_Weight_Overweight_Desc,"Poids\ porté\ trop\ important",#20250924065516,Default
Buff_Weight_SuperHeavy,Surcharge,#20250924065516,Default
Buff_Weight_SuperHeavy_Desc,"Les\ objets\ sont\ trop\ lourds,\ réduisant\ la\ vitesse\ et\ augmentant\ le\ coût\ en\ hydratation",#20250924065516,Default
Buff_PoisonS,Poison,#20250924065516,Default
Buff_PoisonS_Desc,"Dégâts\ continus\ et\ taux\ de\ récupération\ réduit",#20250924065516,Default
Buff_Electric,"Choc\ électrique",#20250924065516,Default
Buff_Electric_Desc,"Paralysé,\ réduisant\ la\ vitesse\ de\ déplacement",#20250924065516,Default
Buff_Pain,Douleur,#20250924065516,Default
Buff_Pain_Desc,"La\ douleur\ affaiblit\ le\ personnage\ et\ réduit\ sa\ mobilité",#20250924065516,Default
Buff_PainResistShort,Calme,#20250924065516,Default
Buff_PainResistShort_Desc,"Ignore\ la\ douleur\ pendant\ 60\ secondes",#20250924065516,Default
Buff_PainResistMiddle,Calme,#20250924065516,Default
Buff_PainResistLong,Calme,#20250924065516,Default
Buff_PainResistLong_Desc,"Ignore\ la\ douleur\ pendant\ 300\ secondes",#20250924065516,Default
Buff_PainResistMiddle_Desc,"Ignore\ la\ douleur\ pendant\ 180\ secondes",#20250924065516,Default
Buff_ElecResistShort,"RÉS\ électrique",#20250924065516,Default
Buff_ElecResistShort_Desc,"Réduit\ les\ dégâts\ électriques\ subis",#20250924065516,Default
Buff_HotBlood,"Sang\ chaud",#20250924065516,Default
Buff_Happy,Bonheur,#20250924065516,Default
Buff_Happy_Desc,"Je\ suis\ fou\ de\ joie\ aujourd'hui",#20250924065516,Default
Buff_Base,Base,#20250924065516,Default
Building_Merchant_Equipment,"Boutique\ d'armures",#20250924065516,Default
Building_Merchant_Equipment_Desc,"Vend\ divers\ casques\ et\ armures\.",#20250924065516,Default
Building_Merchant_Normal,"Boutique\ générale",#20250924065516,Default
Building_Merchant_Normal_Desc,"Tu\ peux\ acheter\ divers\ médicaments\ et\ marchandises,\ ou\ vendre\ des\ objets\ pour\ obtenir\ de\ l'argent\.",#20250924065516,Default
Building_Merchant_Weapon,"Boutique\ d'armes",#20250924065516,Default
Building_Merchant_Weapon_Desc,"Armes,\ munitions,\ tout\ le\ nécessaire\ pour\ tuer\.",#20250924065516,Default
Building_PrototypeMachine,"Machine\ prototype",#20250924065516,Default
Building_PrototypeMachine_Desc,"Améliore\ tes\ compétences\ pour\ augmenter\ tes\ capacités\ de\ survie\ et\ de\ combat\.",#20250924065516,Default
Building_Workbench,"Établi\ simple",#20250924065516,Default
Building_Workbench_Desc,"Permet\ de\ fabriquer\ des\ objets\ de\ base\.",#20250924065516,Default
Building_WorkbenchAdvance,Établi,#20250924065516,Default
Building_WorkbenchAdvance_Desc,"Permet\ de\ fabriquer/démonter\ des\ objets,\ réparer\ ou\ enregistrer\ des\ plans\.",#20250924065516,Default
Building_MasterKey,"Dispositif\ d'enregistrement\ de\ clés",#20250924065516,Default
Building_MasterKey_Desc,"Après\ avoir\ enregistré\ une\ clé,\ tu\ peux\ ouvrir\ la\ porte\ correspondante\.",#20250924065516,Default
Building_Bathroom,Toilettes,#20250924065516,Default
Building_Bathroom_Desc,"Fournit\ de\ l'eau\ propre\.\.\.\ ou\ du\ moins\ pas\ boueuse\.",#20250924065516,Default
Building_FoodTable,"Table\ à\ manger",#20250924065516,Default
Building_FoodTable_Desc,"Tu\ peux\ prendre\ tes\ repas\ ici\.",#20250924065516,Default
Building_QuestGiver,"Tableau\ de\ quêtes",#20250924065516,Default
Building_QuestGiver_Desc,"Deviens\ mercenaire,\ accomplis\ des\ quêtes\ et\ gagne\ des\ récompenses\.",#20250924065516,Default
MerchantName_Merchant_Equipment,"Marchand\ d'équipement",#20250924065516,Default
MerchantName_Merchant_Weapon,"Marchand\ d'armes",#20250924065516,Default
MerchantName_Merchant_Normal,"Distributeur\ automatique",#20250924065516,Default
Character_Jeff,Jeff,#20250924065516,Default
Character_Orange,Orange,#20250924065516,Default
Character_Xavier,Xavier,#20250924065516,Default
Character_Bob,Bob,#20250924065516,Default
Character_Mud,Mud,#20250924065516,Default
Character_Heart7,"Heart\ 7",#20250924065516,Default
Cname_Wolf,Loup,#20250924065516,Default
Cname_ShortEagle,"Pato\ Chapo",#20250924065516,Default
Cname_UltraMan,"Homme\ de\ lumière",#20250924065516,Default
Cname_CrazyRob,"Robot-araignée\ perdu",#20250924065516,Default
Cname_Scav,Charognard,#20250924065516,Default
Cname_Usec,Mercenaire,#20250924065516,Default
Cname_RobSpider,Robot-araignée,#20250924065516,Default
Cname_ScavRage,"Charognard\ enragé",#20250924065516,Default
Cname_Boss_Sniper,Lordon,#20250924065516,Default
Cname_SpeedyChild,"Membre\ du\ groupe\ Speedy",#20250924065516,Default
Cname_Speedy,"Commandant\ du\ groupe\ Speedy",#20250924065516,Default
language_name,Français,#20250924065516,Default
QuestGiver_Jeff,Jeff,#20250924065516,Default
Mirror,Rêve,#20250924065516,Default
UI_CustomFace_Main_Title,Tête,#20250924065516,Default
UI_CustomFace_Eyes_Title,Yeux,#20250924065516,Default
UI_CustomFace_Hair_Title,Crête,#20250924065516,Default
UI_CustomFace_Mouth_Title,Bec,#20250924065516,Default
UI_CustomFace_Tail_Title,Queue,#20250924065516,Default
UI_CustomFace_EyesBrown_Title,Sourcils,#20250924065516,Default
UI_CustomFace_SkinColor,"Couleur\ du\ plumage",#20250924065516,Default
UI_CustomFace_HeadSize,"Taille\ de\ la\ tête",#20250924065516,Default
UI_CustomFace_HeadHeight,"Hauteur\ de\ la\ tête",#20250924065516,Default
UI_CustomFace_HeadRoundness,"Forme\ de\ la\ tête",#20250924065516,Default
UI_CustomFace_HairType,"Type\ de\ crête",#20250924065516,Default
UI_CustomFace_HairColor,"Couleur\ de\ la\ crête",#20250924065516,Default
UI_CustomFace_EyeType,"Type\ d'yeux",#20250924065516,Default
UI_CustomFace_EyeColor,"Couleur\ des\ yeux",#20250924065516,Default
UI_CustomFace_EyeSpace,"Écart\ entre\ les\ yeux",#20250924065516,Default
UI_CustomFace_EyeHeight,"Hauteur\ des\ yeux",#20250924065516,Default
UI_CustomFace_EyeSize,"Taille\ des\ yeux",#20250924065516,Default
UI_CustomFace_EyeRotate,"Rotation\ des\ yeux",#20250924065516,Default
UI_CustomFace_EyebrowType,"Type\ de\ sourcils",#20250924065516,Default
UI_CustomFace_EyebrowColor,"Couleur\ des\ sourcils",#20250924065516,Default
UI_CustomFace_EyebrowSpace,"Écart\ entre\ les\ sourcils",#20250924065516,Default
UI_CustomFace_EyebrowHeight,"Hauteur\ des\ sourcils",#20250924065516,Default
UI_CustomFace_EyebrowSize,"Taille\ des\ sourcils",#20250924065516,Default
UI_CustomFace_EyebrowRotate,"Rotation\ des\ sourcils",#20250924065516,Default
UI_CustomFace_MouthType,"Type\ de\ bec",#20250924065516,Default
UI_CustomFace_MouthColor,"Couleur\ du\ bec",#20250924065516,Default
UI_CustomFace_MouthSize,"Taille\ du\ bec",#20250924065516,Default
UI_CustomFace_MouthHeight,"Hauteur\ du\ bec",#20250924065516,Default
UI_CustomFace_MouthOffset,"Décalage\ du\ bec",#20250924065516,Default
UI_CustomFace_MouthRotate,"Rotation\ du\ bec",#20250924065516,Default
UI_CustomFace_TailType,"Type\ de\ queue",#20250924065516,Default
UI_CustomFace_TailColor,"Couleur\ de\ la\ queue",#20250924065516,Default
UI_CustomFace_TailSize,"Taille\ de\ la\ queue",#20250924065516,Default
Notify_Stucked,"Impossible\ d'ouvrir\ de\ ce\ côté\.",#20250924065516,Default
Notify_Removed,"L'obstacle\ a\ été\ retiré\.",#20250924065516,Default
Building_MedicStation_Desc,"Permet\ de\ fabriquer\ des\ fournitures\ médicales\.",#20250924065516,Default
Building_MedicStation,"Station\ médicale",#20250924065516,Default
UI_LootBox_Totem,"Récupérer\ des\ récompenses",#20250924065516,Default
Location_GroundZero_CaveEntry,"Entrée\ de\ la\ grotte",#20250924065516,Default
Level_Unfinished,"Pas\ encore\ disponible",#20250924065516,Default
Building_Gem,"Salle\ de\ sport",#20250924065516,Default
Building_Gem_Desc,"Pour\ entraîner\ son\ corps\ et\ son\ esprit\.\.\.\ hein\ \?",#20250924065516,Default
UI_LootBox_Explor,"Boîte\ de\ données",#20250924065516,Default
UI_Sort,Trier,#20250924065516,Default
Building_TeleportMachine,Téléporteur,#20250924065516,Default
Building_TeleportMachine_Desc,"Permet\ de\ partir\ depuis\ plus\ d'endroits\.",#20250924065516,Default
Location_NorthMountain,"Montagne\ nord",#20250924065516,Default
Location_GroundZero_RoadCap,"Camp\ routier",#20250924065516,Default
Notification_ManHoleBlocked,"La\ plaque\ d'égout\ semble\ coincée\.",#20250924065516,Default
