key,value,version,sheet
Buff_AddSpeed,Beschleunigung,#20250924065516,Default
Buff_AddSpeed_Desc,"Verbessert\ die\ Bewegungsgeschwindigkeit",#20250924065516,Default
Buff_BleedS,Blutung,#20250924065516,Default
Buff_Starve,Hungrig,#20250924065516,Default
Buff_Starve_Desc,"Hat\ eine\ verringerte\ Regenerationsrate\ und\ erleidet\ kontinuierlichen\ DMG\ über\ Zeit",#20250924065516,Default
Buff_Stun,Betäubung,#20250924065516,Default
Buff_Stun_Desc,"Betäubt,\ reduziert\ die\ Handlungsfähigkeit",#20250924065516,Default
Buff_Thirsty,Dehydriert,#20250924065516,Default
Buff_Thirsty_Desc,"Schwerer\ Flüssigkeitsmangel\ beeinträchtigt\ Körperfunktionen",#20250924065516,Default
Buff_Weight_Heavy,Schwer,#20250924065516,Default
Buff_Weight_Heavy_Desc,"Gegenstände\ sind\ schwer,\ reduziert\ die\ Bewegungsgeschwindigkeit\.",#20250924065516,Default
Buff_Weight_Light,Wendig,#20250924065516,Default
Buff_Weight_Light_Desc,"Geringe\ Traglast,\ ermöglicht\ wendige\ Bewegungen",#20250924065516,Default
Buff_Weight_Overweight,Unerträglich,#20250924065516,Default
Buff_Weight_Overweight_Desc,"Trägt\ zu\ viel\ Gewicht",#20250924065516,Default
Buff_Weight_SuperHeavy,Übergewicht,#20250924065516,Default
Buff_Weight_SuperHeavy_Desc,"Gegenstände\ sind\ zu\ schwer,\ reduziert\ Geschwindigkeit\ und\ erhöht\ Hydrationsverbrauch",#20250924065516,Default
Buff_PoisonS,Gift,#20250924065516,Default
Buff_PoisonS_Desc,"Erleidet\ kontinuierlichen\ Schaden\ und\ hat\ eine\ verringerte\ Regenerationsrate",#20250924065516,Default
Buff_Electric,Elektroschock,#20250924065516,Default
Buff_Electric_Desc,"Gelähmt,\ reduziert\ die\ Bewegungsgeschwindigkeit",#20250924065516,Default
Buff_Pain,Schmerz,#20250924065516,Default
Buff_Pain_Desc,"Schmerz\ schwächt\ den\ Charakter\ und\ reduziert\ die\ Beweglichkeit",#20250924065516,Default
Buff_PainResistShort,Ruhig,#20250924065516,Default
Buff_PainResistShort_Desc,"Ignoriert\ Schmerzen\ für\ 60\ Sek",#20250924065516,Default
Buff_PainResistMiddle,Ruhig,#20250924065516,Default
Buff_PainResistLong,Ruhig,#20250924065516,Default
Buff_PainResistLong_Desc,"Ignoriert\ Schmerzen\ für\ 300\ Sek",#20250924065516,Default
Buff_PainResistMiddle_Desc,"Ignoriert\ Schmerzen\ für\ 180\ Sek",#20250924065516,Default
Buff_ElecResistShort,Elektro-RES,#20250924065516,Default
Buff_ElecResistShort_Desc,"Reduziert\ den\ erlittenen\ Elektro-DMG",#20250924065516,Default
Buff_HotBlood,Heißblütig,#20250924065516,Default
Buff_Happy,Glücklich,#20250924065516,Default
Buff_Happy_Desc,"Ich\ bin\ heute\ so\ glücklich!",#20250924065516,Default
Buff_Base,Basis,#20250924065516,Default
Building_Merchant_Equipment,Rüstungs-Shop,#20250924065516,Default
Building_Merchant_Equipment_Desc,"Verkauft\ verschiedene\ Helme\ und\ Rüstungen\.",#20250924065516,Default
Building_Merchant_Normal,Gemischtwaren-Shop,#20250924065516,Default
Building_Merchant_Normal_Desc,"Hier\ kannst\ du\ verschiedene\ Medi\ und\ Waren\ kaufen\ oder\ Gegenstände\ gegen\ Geld\ verkaufen\.",#20250924065516,Default
Building_Merchant_Weapon,Waffen-Shop,#20250924065516,Default
