key,value,version,sheet
Buff_AddSpeed,加速,#20250924065516,Default
Buff_AddSpeed_Desc,移動速度が上昇する,#20250924065516,Default
Buff_BleedS,出血,#20250924065516,Default
Buff_Starve,飢餓,#20250924065516,Default
Buff_Starve_Desc,回復能力低下、持続ダメージを受ける,#20250924065516,Default
Buff_Stun,スタン,#20250924065516,Default
Buff_Stun_Desc,移動不可,#20250924065516,Default
Buff_Thirsty,脱水,#20250924065516,Default
Buff_Thirsty_Desc,身体機能が低下する,#20250924065516,Default
Buff_Weight_Heavy,重量,#20250924065516,Default
Buff_Weight_Heavy_Desc,移動速度が低下する,#20250924065516,Default
Buff_Weight_Light,軽量,#20250924065516,Default
Buff_Weight_Light_Desc,動きやすい,#20250924065516,Default
Buff_Weight_Overweight,もう耐えられない,#20250924065516,Default
Buff_Weight_Overweight_Desc,重量オーバー,#20250924065516,Default
Buff_Weight_SuperHeavy,重量過多,#20250924065516,Default
Buff_Weight_SuperHeavy_Desc,移動速度大幅低下、水分消費上昇,#20250924065516,Default
Buff_PoisonS,毒,#20250924065516,Default
Buff_PoisonS_Desc,継続ダメージを受け、回復量が減少する,#20250924065516,Default
Buff_Electric,感電,#20250924065516,Default
Buff_Electric_Desc,移動速度が低下する,#20250924065516,Default
Buff_Pain,痛み,#20250924065516,Default
Buff_Pain_Desc,移動能力が低下する,#20250924065516,Default
Buff_PainResistShort,鎮痛,#20250924065516,Default
Buff_PainResistShort_Desc,痛みを無視する\(60s\),#20250924065516,Default
Buff_PainResistMiddle,鎮痛,#20250924065516,Default
Buff_PainResistLong,鎮痛,#20250924065516,Default
Buff_PainResistLong_Desc,痛みを無視する\(300s\),#20250924065516,Default
Buff_PainResistMiddle_Desc,痛みを無視する\(180s\),#20250924065516,Default
Buff_ElecResistShort,電撃耐性,#20250924065516,Default
Buff_ElecResistShort_Desc,電気ダメージを軽減する,#20250924065516,Default
Buff_HotBlood,熱血,#20250924065516,Default
Buff_Happy,ハッピー,#20250924065516,Default
Buff_Happy_Desc,今日は最高だぜ,#20250924065516,Default
Buff_Base,バンカー,#20250924065516,Default
Building_Merchant_Equipment,防具屋,#20250924065516,Default
Building_Merchant_Equipment_Desc,各種ヘルメット、防具を購入できる。,#20250924065516,Default
Building_Merchant_Normal,雑貨屋,#20250924065516,Default
Building_Merchant_Normal_Desc,各種薬品や雑貨を購入したり、物を売ってお金に換えることができる。,#20250924065516,Default
Building_Merchant_Weapon,武器屋,#20250924065516,Default
Building_Merchant_Weapon_Desc,武器、弾薬、殺しと略奪の道具が売られている。,#20250924065516,Default
Building_PrototypeMachine,プロトタイプマシン,#20250924065516,Default
Building_PrototypeMachine_Desc,スキルのレベルを上げて、生存と戦闘関連の能力を強化できる。,#20250924065516,Default
Building_Workbench,簡易作業台,#20250924065516,Default
Building_Workbench_Desc,基本的なアイテムを作成できる。,#20250924065516,Default
Building_WorkbenchAdvance,作業台,#20250924065516,Default
Building_WorkbenchAdvance_Desc,アイテムの作成、分解、修理、そして設計図の登録ができる。,#20250924065516,Default
Building_MasterKey,カギ登録機,#20250924065516,Default
