key,value,version,sheet
Buff_AddSpeed,가속,#20250924065516,Default
Buff_AddSpeed_Desc,"이동\ 속도가\ 증가한다",#20250924065516,Default
Buff_BleedS,출혈,#20250924065516,Default
Buff_Starve,기아,#20250924065516,Default
Buff_Starve_Desc,"회복력\ 감소,\ 지속적인\ 체력이\ 손실된다",#20250924065516,Default
Buff_Stun,기절,#20250924065516,Default
Buff_Stun_Desc,"기절\ 상태,\ 행동력에\ 영향을\ 준다",#20250924065516,Default
Buff_Thirsty,탈수,#20250924065516,Default
Buff_Thirsty_Desc,"심각한\ 탈수,\ 기능이\ 저하된다",#20250924065516,Default
Buff_Weight_Heavy,"소지\ 중량",#20250924065516,Default
Buff_Weight_Heavy_Desc,"아이템이\ 무거워\ 이동에\ 영향을\ 준다",#20250924065516,Default
Buff_Weight_Light,민첩,#20250924065516,Default
Buff_Weight_Light_Desc,"소지\ 중량이\ 적어\ 민첩하다",#20250924065516,Default
Buff_Weight_Overweight,"감당\ 불가",#20250924065516,Default
Buff_Weight_Overweight_Desc,"무게\ 초과",#20250924065516,Default
Buff_Weight_SuperHeavy,과중,#20250924065516,Default
Buff_Weight_SuperHeavy_Desc,"아이템\ 과중,\ 속도와\ 수분\ 소모에\ 영향을\ 준다",#20250924065516,Default
Buff_PoisonS,중독,#20250924065516,Default
Buff_PoisonS_Desc,"지속\ 대미지\ 및\ 회복량이\ 감소된다",#20250924065516,Default
Buff_Electric,감전,#20250924065516,Default
Buff_Electric_Desc,"마비로\ 인해\ 이동\ 속도가\ 감소된다",#20250924065516,Default
Buff_Pain,고통,#20250924065516,Default
Buff_Pain_Desc,"고통으로\ 인해\ 캐릭터가\ 탈진하며\ 이동\ 능력이\ 감소된다",#20250924065516,Default
Buff_PainResistShort,진정,#20250924065516,Default
Buff_PainResistShort_Desc,"60초\ 동안\ 고통을\ 무시한다",#20250924065516,Default
Buff_PainResistMiddle,진정,#20250924065516,Default
Buff_PainResistLong,진정,#20250924065516,Default
Buff_PainResistLong_Desc,"300초\ 동안\ 고통을\ 무시한다",#20250924065516,Default
Buff_PainResistMiddle_Desc,"180초\ 동안\ 고통을\ 무시한다",#20250924065516,Default
Buff_ElecResistShort,"전기\ 저항",#20250924065516,Default
