key,value,version,sheet
Buff_AddSpeed,Aceleração,#20250924065516,Default
Buff_AddSpeed_Desc,"Aumenta\ a\ velocidade\ de\ movimento",#20250924065516,Default
Buff_BleedS,Sangramento,#20250924065516,Default
Buff_Starve,"Com\ fome",#20250924065516,Default
Buff_Starve_Desc,"Taxa\ de\ recuperação\ reduzida\ e\ DAN\ contínuo\ ao\ longo\ do\ tempo",#20250924065516,Default
Buff_Stun,Atordoamento,#20250924065516,Default
Buff_Stun_Desc,"Atordoado,\ reduzindo\ a\ capacidade\ de\ ação",#20250924065516,Default
Buff_Thirsty,Desidratado,#20250924065516,Default
Buff_Thirsty_Desc,"Desidratação\ severa\ diminui\ as\ funções\ corporais",#20250924065516,Default
Buff_Weight_Heavy,Pesado,#20250924065516,Default
Buff_Weight_Heavy_Desc,"Itens\ pesados,\ reduzindo\ a\ velocidade\ de\ movimento",#20250924065516,Default
Buff_Weight_Light,Ágil,#20250924065516,Default
Buff_Weight_Light_Desc,"Peso\ de\ transporte\ baixo,\ permite\ movimentos\ ágeis",#20250924065516,Default
Buff_Weight_Overweight,Insuportável,#20250924065516,Default
Buff_Weight_Overweight_Desc,"Carregando\ peso\ em\ excesso",#20250924065516,Default
Buff_Weight_SuperHeavy,Sobrepeso,#20250924065516,Default
Buff_Weight_SuperHeavy_Desc,"Itens\ muito\ pesados,\ reduzindo\ velocidade\ e\ aumentando\ o\ custo\ de\ Hidratação",#20250924065516,Default
Buff_PoisonS,Veneno,#20250924065516,Default
Buff_PoisonS_Desc,"Causa\ DAN\ contínuo\ e\ tem\ taxa\ de\ recuperação\ reduzida",#20250924065516,Default
Buff_Electric,"Choque\ Elétrico",#20250924065516,Default
Buff_Electric_Desc,"Paralisado,\ reduzindo\ a\ velocidade\ de\ movimento",#20250924065516,Default
Buff_Pain,Dor,#20250924065516,Default
Buff_Pain_Desc,"A\ dor\ enfraquece\ o\ personagem\ e\ reduz\ a\ mobilidade",#20250924065516,Default
Buff_PainResistShort,Calma,#20250924065516,Default
Buff_PainResistShort_Desc,"Ignora\ a\ dor\ por\ 60\ s",#20250924065516,Default
Buff_PainResistMiddle,Calma,#20250924065516,Default
Buff_PainResistLong,Calma,#20250924065516,Default
Buff_PainResistLong_Desc,"Ignora\ a\ dor\ por\ 300\ s",#20250924065516,Default
Buff_PainResistMiddle_Desc,"Ignora\ a\ dor\ por\ 180\ s",#20250924065516,Default
Buff_ElecResistShort,"RES\ Elétrica",#20250924065516,Default
Buff_ElecResistShort_Desc,"Reduz\ o\ DAN\ Elétrico\ sofrido",#20250924065516,Default
Buff_HotBlood,"Sangue\ Quente",#20250924065516,Default
Buff_Happy,Feliz,#20250924065516,Default
Buff_Happy_Desc,"Estou\ muito\ feliz\ hoje!",#20250924065516,Default
Buff_Base,Base,#20250924065516,Default
Building_Merchant_Equipment,"Loja\ de\ Armaduras",#20250924065516,Default
Building_Merchant_Equipment_Desc,"Vende\ diversos\ capacetes\ e\ armaduras\.",#20250924065516,Default
Building_Merchant_Normal,"Loja\ de\ Variedades",#20250924065516,Default
Building_Merchant_Normal_Desc,"Você\ pode\ comprar\ diversos\ medicamentos\ e\ itens,\ ou\ vender\ itens\ por\ dinheiro\.",#20250924065516,Default
Building_Merchant_Weapon,"Loja\ de\ Armas",#20250924065516,Default
Building_Merchant_Weapon_Desc,"Armas,\ munição\.\.\.\ tudo\ o\ que\ você\ precisa\ para\ matar\ e\ saquear\.",#20250924065516,Default
Building_PrototypeMachine,"Protótipo\ de\ Máquina",#20250924065516,Default
Building_PrototypeMachine_Desc,"Aprimore\ suas\ habilidades\ aqui\ para\ melhorar\ chances\ de\ sobrevivência\ e\ habilidades\ de\ combate\.",#20250924065516,Default
