key,value,version,sheet
Buff_AddSpeed,Ускорение,#20250924065516,Default
Buff_AddSpeed_Desc,"Увеличивает\ скорость\ передвижения",#20250924065516,Default
Buff_BleedS,Кровотечение,#20250924065516,Default
Buff_Starve,Голод,#20250924065516,Default
Buff_Starve_Desc,"Уменьшается\ скорость\ восстановления,\ постепенно\ наносится\ постоянный\ урон",#20250924065516,Default
Buff_Stun,Оглушение,#20250924065516,Default
Buff_Stun_Desc,"При\ оглушении\ снижается\ способность\ выполнять\ действия",#20250924065516,Default
Buff_Thirsty,Обезвоживание,#20250924065516,Default
Buff_Thirsty_Desc,"Сильное\ обезвоживание\ ухудшает\ работу\ организма",#20250924065516,Default
Buff_Weight_Heavy,Тяжесть,#20250924065516,Default
Buff_Weight_Heavy_Desc,"Предметы\ тяжелые,\ скорость\ передвижения\ снижена",#20250924065516,Default
Buff_Weight_Light,Ловкость,#20250924065516,Default
Buff_Weight_Light_Desc,"При\ малом\ весе\ переносимых\ предметов\ можно\ ловко\ двигаться",#20250924065516,Default
Buff_Weight_Overweight,Невыносимость,#20250924065516,Default
Buff_Weight_Overweight_Desc,"Слишком\ большой\ вес\ переносимых\ предметов",#20250924065516,Default
Buff_Weight_SuperHeavy,Перегруженность,#20250924065516,Default
Buff_Weight_SuperHeavy_Desc,"Предметы\ слишком\ тяжелые:\ скорость\ снижается,\ расход\ воды\ в\ организме\ повышается",#20250924065516,Default
Buff_PoisonS,Отравление,#20250924065516,Default
Buff_PoisonS_Desc,"Получает\ непрерывный\ урон,\ скорость\ восстановления\ снижена",#20250924065516,Default
Buff_Electric,Электрошок,#20250924065516,Default
Buff_Electric_Desc,"Парализован,\ скорость\ передвижения\ снижена",#20250924065516,Default
Buff_Pain,Боль,#20250924065516,Default
Buff_Pain_Desc,"Боль\ ослабляет\ персонажа\ и\ снижает\ подвижность",#20250924065516,Default
Buff_PainResistShort,Спокойствие,#20250924065516,Default
Buff_PainResistShort_Desc,"Игнорирует\ боль\ в\ течение\ 60\ с",#20250924065516,Default
Buff_PainResistMiddle,Спокойствие,#20250924065516,Default
Buff_PainResistLong,Спокойствие,#20250924065516,Default
Buff_PainResistLong_Desc,"Игнорирует\ боль\ в\ течение\ 300\ с",#20250924065516,Default
Buff_PainResistMiddle_Desc,"Игнорирует\ боль\ в\ течение\ 180\ с",#20250924065516,Default
Buff_ElecResistShort,Электрозащита,#20250924065516,Default
Buff_ElecResistShort_Desc,"Снижает\ получаемый\ урон\ от\ электричества",#20250924065516,Default
Buff_HotBlood,"Горячая\ кровь",#20250924065516,Default
Buff_Happy,Счастье,#20250924065516,Default
Buff_Happy_Desc,"Сегодня\ я\ так\ счастлив!",#20250924065516,Default
Buff_Base,База,#20250924065516,Default
Building_Merchant_Equipment,"Магазин\ брони",#20250924065516,Default
Building_Merchant_Equipment_Desc,"Здесь\ продаются\ различные\ шлемы\ и\ броня\.",#20250924065516,Default
Building_Merchant_Normal,"Универсальный\ магазин",#20250924065516,Default
Building_Merchant_Normal_Desc,"Здесь\ можно\ купить\ различные\ лекарства\ и\ товары\ или\ продать\ предметы\ за\ деньги\.",#20250924065516,Default
Building_Merchant_Weapon,"Оружейный\ магазин",#20250924065516,Default
Building_Merchant_Weapon_Desc,"Оружие,\ боеприпасы\ –\ всё\ для\ убийства\ и\ мародерства\.",#20250924065516,Default
Building_PrototypeMachine,"Прототип\ механизма",#20250924065516,Default
Building_PrototypeMachine_Desc,"Здесь\ можно\ улучшить\ навыки\ для\ повышения\ выживаемости\ и\ боевых\ способностей\.",#20250924065516,Default
Building_Workbench,"Простой\ верстак",#20250924065516,Default
Building_Workbench_Desc,"Используется\ для\ создания\ базовых\ предметов\.",#20250924065516,Default
Building_WorkbenchAdvance,Верстак,#20250924065516,Default
Building_WorkbenchAdvance_Desc,"Используется\ для\ создания/разбора\ предметов,\ ремонта\ или\ регистрации\ чертежей\.",#20250924065516,Default
Building_MasterKey,"Устройство\ регистрации\ ключей",#20250924065516,Default
Building_MasterKey_Desc,"После\ регистрации\ ключа\ можно\ открыть\ соответствующую\ дверь\.",#20250924065516,Default
Building_Bathroom,Туалет,#20250924065516,Default
Building_Bathroom_Desc,"Обеспечивает\ чистой\ водой\ –\ по\ крайней\ мере,\ не\ мутной\.",#20250924065516,Default
Building_FoodTable,"Обеденный\ стол",#20250924065516,Default
