key,value,version,sheet
Buff_AddSpeed,Acelerar,#20250924065516,Default
Buff_AddSpeed_Desc,"Aumenta\ la\ velocidad\ de\ movimiento",#20250924065516,Default
Buff_BleedS,Sangrado,#20250924065516,Default
Buff_Starve,Hambriento,#20250924065516,Default
Buff_Starve_Desc,"Tiene\ una\ tasa\ de\ recuperación\ reducida\ y\ sufre\ DÑO\ continuo",#20250924065516,Default
Buff_Stun,Aturdimiento,#20250924065516,Default
Buff_Stun_Desc,"Aturdido,\ reduce\ la\ capacidad\ de\ acción",#20250924065516,Default
Buff_Thirsty,Deshidratado,#20250924065516,Default
Buff_Thirsty_Desc,"La\ deshidratación\ severa\ reduce\ las\ funciones\ corporales",#20250924065516,Default
Buff_Weight_Heavy,Pesado,#20250924065516,Default
Buff_Weight_Heavy_Desc,"Los\ objetos\ pesados\ reducen\ la\ velocidad\ de\ movimiento",#20250924065516,Default
Buff_Weight_Light,Ágil,#20250924065516,Default
Buff_Weight_Light_Desc,"Lleva\ poco\ peso,\ puede\ hacer\ movimientos\ ágiles",#20250924065516,Default
Buff_Weight_Overweight,Insoportable,#20250924065516,Default
Buff_Weight_Overweight_Desc,"Lleva\ demasiado\ peso",#20250924065516,Default
Buff_Weight_SuperHeavy,Sobrepeso,#20250924065516,Default
Buff_Weight_SuperHeavy_Desc,"Los\ objetos\ demasiado\ pesados\ reducen\ la\ velocidad\ y\ aumentan\ el\ consumo\ de\ hidratación",#20250924065516,Default
Buff_PoisonS,Veneno,#20250924065516,Default
Buff_PoisonS_Desc,"Recibe\ daño\ continuo\ y\ reduce\ la\ tasa\ de\ recuperación",#20250924065516,Default
Buff_Electric,"Descarga\ eléctrica",#20250924065516,Default
Buff_Electric_Desc,"Paralizado,\ reduce\ la\ velocidad\ de\ movimiento",#20250924065516,Default
Buff_Pain,Dolor,#20250924065516,Default
Buff_Pain_Desc,"El\ dolor\ debilita\ al\ personaje\ y\ reduce\ la\ movilidad",#20250924065516,Default
Buff_PainResistShort,Calma,#20250924065516,Default
Buff_PainResistShort_Desc,"Ignora\ el\ dolor\ durante\ 60\ segundos",#20250924065516,Default
Buff_PainResistMiddle,Calma,#20250924065516,Default
Buff_PainResistLong,Calma,#20250924065516,Default
Buff_PainResistLong_Desc,"Ignora\ el\ dolor\ durante\ 300\ segundos",#20250924065516,Default
Buff_PainResistMiddle_Desc,"Ignora\ el\ dolor\ durante\ 180\ segundos",#20250924065516,Default
Buff_ElecResistShort,"RES\ eléctrica",#20250924065516,Default
Buff_ElecResistShort_Desc,"Reduce\ el\ DÑO\ eléctrico\ recibido",#20250924065516,Default
Buff_HotBlood,"Sangre\ caliente",#20250924065516,Default
Buff_Happy,Feliz,#20250924065516,Default
Buff_Happy_Desc,"¡Estoy\ muy\ feliz\ hoy!",#20250924065516,Default
Buff_Base,Base,#20250924065516,Default
Building_Merchant_Equipment,"Tienda\ de\ armaduras",#20250924065516,Default
Building_Merchant_Equipment_Desc,"Vende\ diversos\ cascos\ y\ armaduras\.",#20250924065516,Default
Building_Merchant_Normal,"Tienda\ de\ variedades",#20250924065516,Default
Building_Merchant_Normal_Desc,"Compra\ medicinas\ y\ productos,\ o\ vende\ objetos\ por\ dinero\.",#20250924065516,Default
Building_Merchant_Weapon,"Tienda\ de\ armas",#20250924065516,Default
Building_Merchant_Weapon_Desc,"Armas,\ munición,\ todo\ lo\ necesario\ para\ matar\ y\ saquear\.",#20250924065516,Default
Building_PrototypeMachine,"Máquina\ prototipo",#20250924065516,Default
Building_PrototypeMachine_Desc,"Mejora\ tus\ habilidades\ aquí\ para\ aumentar\ tus\ habilidades\ de\ supervivencia\ y\ combate\.",#20250924065516,Default
Building_Workbench,"Mesa\ de\ trabajo\ simple",#20250924065516,Default
Building_Workbench_Desc,"Úsala\ para\ fabricar\ objetos\ básicos\.",#20250924065516,Default
Building_WorkbenchAdvance,"Mesa\ de\ trabajo",#20250924065516,Default
Building_WorkbenchAdvance_Desc,"Úsala\ para\ fabricar/desmantelar\ objetos,\ hacer\ reparaciones\ o\ registrar\ planos\.",#20250924065516,Default
Building_MasterKey,"Dispositivo\ de\ registro\ de\ llaves",#20250924065516,Default
Building_MasterKey_Desc,"Registra\ tus\ llaves\ para\ poder\ abrir\ las\ puertas\ correspondientes\.",#20250924065516,Default
Building_Bathroom,Baño,#20250924065516,Default
Building_Bathroom_Desc,"Proporciona\ agua\ limpia,\ al\ menos\ no\ está\ turbia\.",#20250924065516,Default
Building_FoodTable,"Mesa\ del\ comedor",#20250924065516,Default
Building_FoodTable_Desc,"Aquí\ puedes\ comer\ tus\ alimentos\.",#20250924065516,Default
Building_QuestGiver,"Tablón\ de\ misiones",#20250924065516,Default
Building_QuestGiver_Desc,"Conviértete\ en\ mercenario,\ completa\ misiones\ y\ gana\ recompensas\.",#20250924065516,Default
MerchantName_Merchant_Equipment,"Comerciante\ de\ equipamientos",#20250924065516,Default
MerchantName_Merchant_Weapon,"Comerciante\ de\ armas",#20250924065516,Default
MerchantName_Merchant_Normal,"Máquina\ expendedora",#20250924065516,Default
Character_Jeff,Jeff,#20250924065516,Default
Character_Orange,Orange,#20250924065516,Default
Character_Xavier,Xavier,#20250924065516,Default
Character_Bob,Bob,#20250924065516,Default
Character_Mud,Mud,#20250924065516,Default
Character_Heart7,"Heart\ 7",#20250924065516,Default
Cname_Wolf,Lobo,#20250924065516,Default
Cname_ShortEagle,"Pato\ Chapo",#20250924065516,Default
Cname_UltraMan,"Hombre\ de\ Luz",#20250924065516,Default
Cname_CrazyRob,"Robot\ araña\ perdido",#20250924065516,Default
Cname_Scav,Carroñero,#20250924065516,Default
Cname_Usec,Mercenario,#20250924065516,Default
Cname_RobSpider,"Robot\ araña",#20250924065516,Default
Cname_ScavRage,"Carroñero\ furioso",#20250924065516,Default
Cname_Boss_Sniper,Lordon,#20250924065516,Default
Cname_SpeedyChild,"Miembro\ del\ grupo\ veloz",#20250924065516,Default
Cname_Speedy,"Comandante\ del\ grupo\ veloz",#20250924065516,Default
language_name,Español,#20250924065516,Default
QuestGiver_Jeff,Jeff,#20250924065516,Default
Mirror,Sueño,#20250924065516,Default
UI_CustomFace_Main_Title,Cabeza,#20250924065516,Default
UI_CustomFace_Eyes_Title,Ojos,#20250924065516,Default
UI_CustomFace_Hair_Title,Cresta,#20250924065516,Default
UI_CustomFace_Mouth_Title,Pico,#20250924065516,Default
UI_CustomFace_Tail_Title,Cola,#20250924065516,Default
UI_CustomFace_EyesBrown_Title,Cejas,#20250924065516,Default
UI_CustomFace_SkinColor,"Color\ de\ plumas",#20250924065516,Default
UI_CustomFace_HeadSize,Tamaño,#20250924065516,Default
UI_CustomFace_HeadHeight,Altura,#20250924065516,Default
UI_CustomFace_HeadRoundness,Craneo,#20250924065516,Default
UI_CustomFace_HairType,Estilo,#20250924065516,Default
UI_CustomFace_HairColor,Color,#20250924065516,Default
UI_CustomFace_EyeType,Estilo,#20250924065516,Default
UI_CustomFace_EyeColor,Color,#20250924065516,Default
UI_CustomFace_EyeSpace,Separación,#20250924065516,Default
UI_CustomFace_EyeHeight,Altura,#20250924065516,Default
